eco_code,Annual crops,Permanent crops,Pasture,Urban,Extensive forestry,Intensive forestry
IM0121,11.8628342251244,8.52458841183328,6.54404454720171,16.7082583332616,2.75279607414648,7.29588390582602
IM0122,28.1305927336778,23.5315182652992,12.3239180023882,39.2646312434505,6.24564217681383,17.9048952305948
IM0123,8.17736162517487,7.18791798624485,3.44210039937484,10.0954959367017,1.35276856706902,5.19181216528659
IM0124,18.5024260052886,13.3534848401451,8.54144328585694,22.8924648410298,3.76546017786978,11.3028328770913
IM0125,191.353700660747,176.611534023089,128.630739045158,289.85483791527,28.3807661863158,135.264868503067
IM0126,18.2310444195668,12.6282664900949,10.258332929257,25.3415204625129,3.82639065158182,11.7190414248922
IM0127,59.7248626085414,47.8270520754771,NaN,NaN,16.8091458676159,39.7211539562046
IM0128,20.165735260888,17.0189119185458,7.99103920053444,25.217631652435,3.43895424314392,11.7188417811488
IM0129,6.88756224381049,5.99688767594718,2.91778331375602,8.61478296056645,1.18060184357634,4.16947277196948
IM0130,48.3575599499462,43.3483304146602,NaN,60.9266609373586,7.21797583993007,30.9053253487831
IM0131,6.56511763701371,4.58209215254356,3.70726165079384,9.70062541798853,1.51240578361701,4.14320503263128
IM0132,10.5397069378312,7.05731432324928,5.64528393935796,13.9546880687353,2.3692009857659,6.29553369719376
IM0133,114.480130004317,88.0514083398627,56.6993308790581,NaN,26.2013882889779,76.8437015005556
IM0134,14.4785269698468,10.79449743571,6.92832201683643,18.4766406551321,3.0214229942208,9.30404726068754
IM0135,20.5759326947988,15.161328697215,9.52184507097548,26.7861010784743,4.84175393808123,13.9202879614648
IM0136,15.4199708256999,11.3407734585154,8.17268698097094,22.4830444547634,3.74988026464158,10.0348670293213
IM0137,3.51788639742828,2.50842751012279,2.06870085260562,4.9158340142866,0.731415965431578,2.20185267567558
IM0138,42.9689527461513,32.529612768794,20.8987577106391,56.7942114297331,8.19916425745178,26.8830350447109
IM0139,17.3682681587283,11.5832542390686,8.8454495963808,23.156825160034,4.21884660324556,10.8137296856173
IM0140,12.6575368578929,7.81205542782386,6.29039210239706,19.4361636177235,4.20423831113381,7.72292192590275
IM0141,30.5057151735673,22.7807758029489,15.0475483756495,39.1761410749488,5.43484914625009,18.5362588088699
IM0142,24.34994001855,17.8704299265198,10.6620525803362,29.7889342251199,4.57929644257721,15.317439066374
IM0143,29.6621482066874,25.7065497158872,13.270494723419,38.7528813939964,5.48802480281428,18.3304914567565
IM0144,39.8725852886806,31.6743974079492,15.4672230291639,54.2478610581091,9.31369930508831,23.4281439428611
IM0145,153.899458251656,128.984479377067,65.0960963186128,219.690231144084,28.8836292098216,91.5635323280766
IM0146,10.1156860070185,8.40338853396926,4.25560698857286,12.6189940357685,1.85801203459798,6.15594065120294
IM0147,57.3779819428767,45.4027150161383,23.2686859186201,74.660285942832,9.48438142181558,34.9837214163654
IM0148,NaN,NaN,56.6288529654281,NaN,NaN,NaN
IM0149,6.59139652399686,5.04520005326344,3.41147746897808,8.22466844119918,1.15566961368113,4.13918337801313
IM0150,27.5501890924043,19.9706685029902,12.695290659593,34.9074418352936,6.15140436464447,17.4865910082425
IM0151,31.8301282797432,23.4134919053019,NaN,40.9826385800147,7.77928219145364,20.482853771408
IM0152,16.0932963528493,11.3847242410588,8.33394159918696,21.9302313202229,3.90398069440478,10.5703952143683
IM0153,14.1194255820525,11.1608871221077,6.19889633694795,19.9952130882238,3.00192417048538,8.04517764829195
IM0154,37.024593281852,31.7787347834117,15.5232381820753,47.0604688422342,6.26326836588872,23.1958389847319
IM0155,120.126900068755,97.327473181483,51.9351274024716,158.391620866168,23.1472759738347,71.4161768926047
IM0156,116.773974349723,105.026655116605,69.9652103410143,166.290977642362,19.8228614125042,78.4615675738019
IM0157,43.3601547975261,36.5956390752196,15.9750292934594,54.0841751445167,6.4648895672484,24.9782935045118
IM0158,3.53155770333536,2.86709867407953,1.47772350378793,4.28278241662833,0.636162368111321,2.04818187884162
IM0159,8.84212552471485,6.7471693235697,3.54249866574731,11.931120392836,2.13680001365874,5.3032454490039
IM0160,8.36454736887956,7.19618699409602,3.10777788218737,10.9045655843761,1.35203873926233,5.11704509941075
IM0161,7.15856746709911,5.48041459144095,3.14250611337603,10.0838160021537,1.6295198642569,4.12201548157393
IM0162,31.8562287352281,23.4793168172289,14.0029752803416,39.9164525176919,5.94019343025352,19.5563526894713
IM0163,12.0143006780752,9.19721984481685,5.55278296106131,15.231543838801,2.48731808005176,7.28857178215654
IM0164,22.2355923777969,17.42737080027,9.96046898169997,29.1667655954245,4.27622955974689,13.5567155442436
IM0165,21.5920452809797,16.7909754799606,9.49007727414201,28.3889263260118,3.87075212934782,13.2640336234594
IM0166,3.17284446607522,2.20387521277097,1.40109140048673,3.84149400435818,0.618438231320495,1.92300033642924
IM0167,17.4375290937588,13.9447499205216,7.59571947898135,22.5688033178447,2.93630066679861,9.62803322689708
IM0168,20.4286369514212,16.9445110681267,8.2275723513478,25.2595354378626,3.12249894030086,11.9198701956313
IM0169,32.8079808564296,23.0877977896254,20.8827486638753,45.8191774777568,5.50686082269019,21.0400900894538
IM0170,77.2683571296575,63.674235230264,40.1182013722394,101.578822770912,15.1956958676932,57.9167817965617
IM0171,164.638154036982,130.840625065936,85.396336975964,225.956303723777,33.2406855157933,113.515769329639
IM0172,14.5923531542779,11.4821508053353,7.67424849117159,19.4218516338544,2.93101461990258,9.71818829699761
IM0201,1.49527107126539,1.20542131568705,0.69946762488878,2.16408902791961,0.320631514215258,0.746584932524755
IM0202,1.88436844885298,1.54458037868696,0.87448162815155,2.74696721400553,0.435003920288528,0.915564664155031
