Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
EK,Livestock Patterns,112,Jordan,7213,Livestock units per agricultural land area,1016,Goats,2010,2010,LSU/ha,0.08,Fc,Calculated data
EK,Livestock Patterns,108,Kazakhstan,7213,Livestock units per agricultural land area,1016,Goats,2010,2010,LSU/ha,0,Fc,Calculated data
EK,Livestock Patterns,114,Kenya,7213,Livestock units per agricultural land area,1016,Goats,2010,2010,LSU/ha,0.1,Fc,Calculated data
EK,Livestock Patterns,118,Kuwait,7213,Livestock units per agricultural land area,1016,Goats,2010,2010,LSU/ha,0.12,Fc,Calculated data
EK,Livestock Patterns,113,Kyrgyzstan,7213,Livestock units per agricultural land area,1016,Goats,2010,2010,LSU/ha,0.01,Fc,Calculated data
EK,Livestock Patterns,120,Laos,7213,Livestock units per agricultural land area,1016,Goats,2010,2010,LSU/ha,0.02,Fc,Calculated data
EK,Livestock Patterns,119,Latvia,7213,Livestock units per agricultural land area,1016,Goats,2010,2010,LSU/ha,0,Fc,Calculated data
EK,Livestock Patterns,121,Lebanon,7213,Livestock units per agricultural land area,1016,Goats,2010,2010,LSU/ha,0.06,Fc,Calculated data
EK,Livestock Patterns,122,Lesotho,7213,Livestock units per agricultural land area,1016,Goats,2010,2010,LSU/ha,0.04,Fc,Calculated data
EK,Livestock Patterns,123,Liberia,7213,Livestock units per agricultural land area,1016,Goats,2010,2010,LSU/ha,0.02,Fc,Calculated data
EK,Livestock Patterns,124,Libya,7213,Livestock units per agricultural land area,1016,Goats,2010,2010,LSU/ha,0.02,Fc,Calculated data
EK,Livestock Patterns,126,Lithuania,7213,Livestock units per agricultural land area,1016,Goats,2010,2010,LSU/ha,0,Fc,Calculated data
EK,Livestock Patterns,256,Luxembourg,7213,Livestock units per agricultural land area,1016,Goats,2010,2010,LSU/ha,0,Fc,Calculated data
EK,Livestock Patterns,129,Madagascar,7213,Livestock units per agricultural land area,1016,Goats,2010,2010,LSU/ha,0,Fc,Calculated data
EK,Livestock Patterns,130,Malawi,7213,Livestock units per agricultural land area,1016,Goats,2010,2010,LSU/ha,0.07,Fc,Calculated data
EK,Livestock Patterns,131,Malaysia,7213,Livestock units per agricultural land area,1016,Goats,2010,2010,LSU/ha,0.01,Fc,Calculated data
EK,Livestock Patterns,133,Mali,7213,Livestock units per agricultural land area,1016,Goats,2010,2010,LSU/ha,0.04,Fc,Calculated data
EK,Livestock Patterns,134,Malta,7213,Livestock units per agricultural land area,1016,Goats,2010,2010,LSU/ha,0.05,Fc,Calculated data
EK,Livestock Patterns,136,Mauritania,7213,Livestock units per agricultural land area,1016,Goats,2010,2010,LSU/ha,0.01,Fc,Calculated data
EK,Livestock Patterns,137,Mauritius,7213,Livestock units per agricultural land area,1016,Goats,2010,2010,LSU/ha,0.03,Fc,Calculated data
EK,Livestock Patterns,138,Mexico,7213,Livestock units per agricultural land area,1016,Goats,2010,2010,LSU/ha,0.01,Fc,Calculated data
EK,Livestock Patterns,145,Micronesia,7213,Livestock units per agricultural land area,1016,Goats,2010,2010,LSU/ha,0.02,Fc,Calculated data
EK,Livestock Patterns,141,Mongolia,7213,Livestock units per agricultural land area,1016,Goats,2010,2010,LSU/ha,0.01,Fc,Calculated data
EK,Livestock Patterns,143,Morocco,7213,Livestock units per agricultural land area,1016,Goats,2010,2010,LSU/ha,0.02,Fc,Calculated data
EK,Livestock Patterns,144,Mozambique,7213,Livestock units per agricultural land area,1016,Goats,2010,2010,LSU/ha,0.01,Fc,Calculated data
EK,Livestock Patterns,28,Myanmar,7213,Livestock units per agricultural land area,1016,Goats,2010,2010,LSU/ha,0.03,Fc,Calculated data
EK,Livestock Patterns,147,Namibia,7213,Livestock units per agricultural land area,1016,Goats,2010,2010,LSU/ha,0.01,Fc,Calculated data
EK,Livestock Patterns,149,Nepal,7213,Livestock units per agricultural land area,1016,Goats,2010,2010,LSU/ha,0.21,Fc,Calculated data
EK,Livestock Patterns,150,Netherlands,7213,Livestock units per agricultural land area,1016,Goats,2010,2010,LSU/ha,0.02,Fc,Calculated data
EK,Livestock Patterns,153,New Caledonia,7213,Livestock units per agricultural land area,1016,Goats,2010,2010,LSU/ha,0,Fc,Calculated data
EK,Livestock Patterns,156,New Zealand,7213,Livestock units per agricultural land area,1016,Goats,2010,2010,LSU/ha,0,Fc,Calculated data
EK,Livestock Patterns,157,Nicaragua,7213,Livestock units per agricultural land area,1016,Goats,2010,2010,LSU/ha,0,Fc,Calculated data
EK,Livestock Patterns,158,Niger,7213,Livestock units per agricultural land area,1016,Goats,2010,2010,LSU/ha,0.03,Fc,Calculated data
EK,Livestock Patterns,159,Nigeria,7213,Livestock units per agricultural land area,1016,Goats,2010,2010,LSU/ha,0.08,Fc,Calculated data
EK,Livestock Patterns,154,Macedonia,7213,Livestock units per agricultural land area,1016,Goats,2010,2010,LSU/ha,0.01,Fc,Calculated data
EK,Livestock Patterns,162,Norway,7213,Livestock units per agricultural land area,1016,Goats,2010,2010,LSU/ha,0.01,Fc,Calculated data
EK,Livestock Patterns,221,Oman,7213,Livestock units per agricultural land area,1016,Goats,2010,2010,LSU/ha,0.12,Fc,Calculated data
